SEMANA;BAJO_PESO_MIN;BAJO_PESO_MAX;NORMAL_UNICO_MIN;NORMAL_UNICO_MAX;NORMAL_MELLIZOS_MIN;NORMAL_MELLIZOS_MAX;SOBREPESO_UNICO_MIN;SOBREPESO_UNICO_MAX;SOBREPESO_MELLIZOS_MIN;SOBREPESO_MELLIZOS_MAX;OBESIDAD_UNICO_MIN;OBESIDAD_UNICO_MAX;OBESIDAD_MELLIZOS_MIN;OBESIDAD_MELLIZOS_MAX
1;0.0;0.1;0.0;0.1;;;0.0;0.1;;;0.0;0.1;;
2;0.0;0.3;0.0;0.3;;;0.0;0.3;;;0.0;0.3;;
3;0.1;0.4;0.1;0.4;;;0.1;0.4;;;0.1;0.4;;
4;0.1;0.6;0.1;0.6;;;0.1;0.6;;;0.1;0.6;;
5;0.1;0.7;0.1;0.7;;;0.1;0.7;;;0.1;0.7;;
6;0.2;0.9;0.2;0.9;;;0.2;0.9;;;0.2;0.9;;
7;0.2;1.0;0.2;1.0;;;0.2;1.0;;;0.2;1.0;;
8;0.3;1.2;0.3;1.2;;;0.3;1.2;;;0.3;1.2;;
9;0.3;1.3;0.3;1.3;;;0.3;1.3;;;0.3;1.3;;
10;0.3;1.5;0.3;1.5;;;0.3;1.5;;;0.3;1.5;;
11;0.4;1.6;0.4;1.6;;;0.4;1.6;;;0.4;1.6;;
12;0.4;1.8;0.4;1.8;;;0.4;1.8;;;0.4;1.8;;
13;0.5;2.0;0.5;2.0;;;0.5;2.0;;;0.5;2.0;;
14;0.9;2.5;0.9;2.5;1.1;2.8;0.7;2.3;1.0;2.7;0.6;2.2;0.8;2.6
15;1.3;3.1;1.3;3.0;1.7;3.7;0.9;2.7;1.5;3.5;0.8;2.5;1.2;3.2
16;1.8;3.7;1.7;3.5;2.3;4.5;1.2;3.0;2.0;4.3;1.0;2.7;1.6;3.8
17;2.2;4.3;2.1;4.0;2.9;5.4;1.4;3.4;2.5;5.1;1.1;3.0;2.0;4.5
18;2.7;4.9;2.5;4.5;3.5;6.2;1.7;3.7;3.0;5.8;1.3;3.2;2.4;5.1
19;3.1;5.5;2.9;5.1;4.1;7.1;1.9;4.1;3.5;6.6;1.5;3.5;2.8;5.7
20;3.6;6.1;3.3;5.6;4.7;7.9;2.1;4.4;4.0;7.4;1.6;3.8;3.2;6.4
21;4.0;6.7;3.7;6.1;5.3;8.8;2.4;4.8;4.5;8.2;1.8;4.0;3.6;7.0
22;4.4;7.3;4.1;6.6;6.0;9.6;2.6;5.1;5.0;9.0;2.0;4.3;4.0;7.6
23;4.9;7.9;4.5;7.1;6.6;10.5;2.9;5.5;5.5;9.7;2.1;4.5;4.3;8.2
24;5.3;8.5;4.9;7.7;7.2;11.3;3.1;5.8;6.0;10.5;2.3;4.8;4.7;8.9
25;5.8;9.1;5.3;8.2;7.8;12.2;3.3;6.2;6.5;11.3;2.5;5.1;5.1;9.5
26;6.2;9.7;5.7;8.7;8.4;13.0;3.6;6.5;7.0;12.1;2.6;5.3;5.5;10.1
27;6.7;10.2;6.2;9.2;9.0;13.9;3.8;6.9;7.5;12.8;2.8;5.6;5.9;10.8
28;7.1;10.8;6.6;9.7;9.6;14.7;4.1;7.2;8.0;13.6;3.0;5.8;6.3;11.4
29;7.6;11.4;7.0;10.2;10.2;15.6;4.3;7.6;8.5;14.4;3.1;6.1;6.7;12.0
30;8.0;12.0;7.4;10.8;10.8;16.4;4.5;7.9;9.0;15.2;3.3;6.4;7.1;12.7
31;8.4;12.6;7.8;11.3;11.5;17.3;4.8;8.3;9.5;16.0;3.5;6.6;7.5;13.3
32;8.9;13.2;8.2;11.8;12.1;18.1;5.0;8.6;10.0;16.7;3.6;6.9;7.8;13.9
33;9.3;13.8;8.6;12.3;12.7;19.0;5.3;9.0;10.5;17.5;3.8;7.1;8.2;14.5
34;9.8;14.4;9.0;12.8;13.3;19.8;5.5;9.3;11.0;18.3;4.0;7.4;8.6;15.2
35;10.2;15.0;9.4;13.4;13.9;20.7;5.7;9.7;11.5;19.1;4.1;7.7;9.0;15.8
36;10.7;15.6;9.8;13.9;14.5;21.5;6.0;10.0;12.0;19.8;4.3;7.9;9.4;16.4
37;11.1;16.2;10.2;14.4;15.1;22.4;6.2;10.4;12.5;20.6;4.5;8.2;9.8;17.1
38;11.6;16.8;10.6;14.9;15.7;23.2;6.5;10.7;13.0;21.4;4.6;8.4;10.2;17.7
39;12.0;17.4;11.0;15.4;16.3;24.1;6.7;11.1;13.5;22.2;4.8;8.7;10.6;18.3
40;12.5;18.0;11.5;16.0;17.0;25.0;7.0;11.5;14.0;23.0;5.0;9.0;11.0;19.0
